-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2023 through 12/31/2023 in LST
Location: latitude  26.3   longitude 50.1 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 13.68 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
RH2M                  MERRA-2 Relative Humidity at 2 Meters (%) 
WS10M                 MERRA-2 Wind Speed at 10 Meters (m/s) 
ALLSKY_KT             CERES SYN1deg All Sky Insolation Clearness Index (dimensionless) 
ALLSKY_SFC_SW_DNI     CERES SYN1deg All Sky Surface Shortwave Downward Direct Normal Irradiance (kW-hr/m^2/day) 
-END HEADER-
YEAR,MO,DY,T2M,RH2M,WS10M,ALLSKY_KT,ALLSKY_SFC_SW_DNI
2023,1,1,18.19,66.11,5.81,0.47,1.8835
2023,1,2,16.74,67.41,5.28,0.07,0.0701
2023,1,3,16.86,64.53,2.61,0.31,0.2808
2023,1,4,18.35,77.31,2.69,0.2,0.0965
2023,1,5,17.89,81.03,4.17,0.12,0.1543
2023,1,6,16.47,73.04,2.91,0.18,0.0725
2023,1,7,15.86,70.58,3.92,0.47,2.4679
2023,1,8,15.68,63.01,3.58,0.56,3.6394
2023,1,9,17.77,63.53,3.15,0.34,0.3984
2023,1,10,16.54,77.14,7.99,0.33,0.4913
2023,1,11,14.66,69.49,7.79,0.53,1.9474
2023,1,12,14.69,61.58,4.83,0.57,3.0979
2023,1,13,16.86,62.76,3.08,0.34,0.642
2023,1,14,18.01,83.96,5.18,0.26,0.4111
2023,1,15,19.06,82.95,4.05,0.38,1.1892
2023,1,16,18.47,88.23,2.29,0.39,1.5
2023,1,17,18.65,82.68,6.78,0.4,1.3032
2023,1,18,15.34,66.83,7.33,0.51,1.7378
2023,1,19,15.05,72.88,6.76,0.51,1.5343
2023,1,20,15.71,73.13,4.36,0.61,4.3733
2023,1,21,16.22,65.08,2.13,0.63,4.7407
2023,1,22,17.88,57.7,0.85,0.58,3.6542
2023,1,23,18.19,67.84,1.7,0.55,2.9964
2023,1,24,18.07,77.95,2.35,0.33,0.6283
2023,1,25,17.85,81.93,3.68,0.47,2.009
2023,1,26,17.77,81.97,3.81,0.14,0.3569
2023,1,27,16.93,64.49,7.14,0.6,4.2204
2023,1,28,15.93,62.04,6.08,0.64,5.7046
2023,1,29,15.87,55.41,3.5,0.65,5.5272
2023,1,30,16.43,59.19,5.41,0.64,5.2956
2023,1,31,17.74,63.26,7.74,0.62,4.5646
2023,2,1,18.86,72.76,5.42,0.51,2.0052
2023,2,2,19.13,75.93,4.87,0.34,0.7013
2023,2,3,17.24,63.5,7.12,0.61,3.9792
2023,2,4,16.24,55.84,4.06,0.58,3.168
2023,2,5,17.66,56.8,2.04,0.59,3.199
2023,2,6,19.45,67.97,5.37,0.57,2.91
2023,2,7,19.95,66.95,5.07,0.48,1.4467
2023,2,8,17.73,59.2,6.31,0.49,1.9135
2023,2,9,16.57,52.23,7.19,0.54,2.16
2023,2,10,15.54,51.91,6.16,0.59,4.2864
2023,2,11,16.94,57.98,3.13,0.59,3.4826
2023,2,12,19.5,60.84,5.48,0.54,2.4888
2023,2,13,18.69,74.0,5.24,0.54,2.6566
2023,2,14,19.05,78.32,4.27,0.55,2.5529
2023,2,15,19.96,76.56,4.68,0.54,2.0698
2023,2,16,17.19,61.75,9.32,0.48,1.133
2023,2,17,16.21,53.11,9.4,0.48,1.369
2023,2,18,14.97,47.26,8.25,0.5,1.248
2023,2,19,15.53,53.68,7.07,0.53,1.9548
2023,2,20,16.2,54.5,5.97,0.64,4.6164
2023,2,21,17.98,49.33,2.84,0.5,1.475
2023,2,22,19.4,46.44,2.56,0.61,3.8566
2023,2,23,20.79,37.46,4.07,0.62,3.9626
2023,2,24,20.0,50.13,2.97,0.62,3.8083
2023,2,25,20.78,72.25,3.25,0.54,2.0748
2023,2,26,21.69,76.06,4.58,0.48,1.5622
2023,2,27,21.84,78.39,3.95,0.41,1.2638
2023,2,28,20.84,66.73,6.0,0.57,3.1106
2023,3,1,20.14,51.75,4.48,0.54,2.1485
2023,3,2,19.8,48.85,3.43,0.65,5.1732
2023,3,3,20.56,52.38,2.45,0.64,5.2294
2023,3,4,22.51,45.61,2.89,0.64,4.6529
2023,3,5,23.34,46.15,3.25,0.62,4.3085
2023,3,6,24.65,45.33,2.76,0.61,3.8808
2023,3,7,25.31,45.36,3.6,0.57,3.0662
2023,3,8,23.23,67.76,3.75,0.5,1.4969
2023,3,9,25.23,57.74,6.02,0.51,1.7854
2023,3,10,21.35,72.06,7.67,0.43,1.1976
2023,3,11,21.14,65.27,5.37,0.59,3.5016
2023,3,12,21.7,65.7,3.96,0.49,1.9212
2023,3,13,22.32,69.26,4.73,0.18,0.1075
2023,3,14,22.91,75.05,3.24,0.57,3.4289
2023,3,15,24.66,68.47,3.8,0.53,2.6453
2023,3,16,22.38,68.31,5.6,0.58,3.0197
2023,3,17,21.29,54.73,5.77,0.63,4.4054
2023,3,18,21.64,51.1,4.17,0.67,5.999
2023,3,19,24.92,49.94,2.75,0.57,2.7058
2023,3,20,23.89,58.77,3.82,0.62,3.8647
2023,3,21,21.62,58.64,6.19,0.62,3.427
2023,3,22,21.54,53.2,4.45,0.64,4.5197
2023,3,23,21.02,54.84,4.69,0.63,4.5288
2023,3,24,21.8,52.0,3.58,0.56,2.755
2023,3,25,22.75,55.18,2.98,0.61,3.7673
2023,3,26,23.12,68.35,6.37,0.23,0.1054
2023,3,27,24.27,59.3,2.83,0.59,3.1339
2023,3,28,23.26,58.34,5.14,0.64,4.459
2023,3,29,22.35,59.46,5.46,0.66,5.1754
2023,3,30,23.23,47.05,3.76,0.64,5.2308
2023,3,31,24.69,58.06,4.15,0.55,2.9647
2023,4,1,20.87,53.72,9.87,0.52,1.2175
2023,4,2,19.59,43.65,8.96,0.6,2.6753
2023,4,3,20.24,51.51,7.08,0.62,3.457
2023,4,4,21.41,53.07,5.88,0.63,4.5802
2023,4,5,23.1,47.02,4.53,0.67,6.245
2023,4,6,24.09,46.44,3.52,0.64,5.7074
2023,4,7,23.85,58.67,3.4,0.6,3.6494
2023,4,8,24.49,52.23,4.01,0.48,1.5686
2023,4,9,24.76,49.18,4.3,0.63,4.0296
2023,4,10,26.0,55.9,2.95,0.61,3.7922
2023,4,11,27.63,37.94,4.17,0.41,1.3018
2023,4,12,28.04,46.74,6.57,0.61,3.7586
2023,4,13,24.1,76.74,6.06,0.5,1.6174
2023,4,14,22.38,64.41,6.91,0.4,0.4819
2023,4,15,22.51,58.17,6.1,0.48,1.3404
2023,4,16,22.74,51.0,6.06,0.4,0.3727
2023,4,17,23.46,52.15,3.39,0.38,0.565
2023,4,18,24.98,50.8,2.86,0.64,4.6226
2023,4,19,25.4,48.02,2.5,0.54,2.3251
2023,4,20,25.9,48.36,2.6,0.55,3.2177
2023,4,21,26.63,43.07,2.75,0.62,4.2022
2023,4,22,27.44,47.36,2.71,0.49,1.7902
2023,4,23,28.88,45.86,2.92,0.55,2.7336
2023,4,24,29.36,47.02,2.75,0.49,1.5235
2023,4,25,26.77,59.8,4.64,0.31,0.3204
2023,4,26,26.43,52.22,4.63,0.41,1.1016
2023,4,27,27.59,42.13,4.96,0.67,5.5694
2023,4,28,28.08,39.55,3.41,0.67,5.8322
2023,4,29,30.0,42.41,3.22,0.6,3.3458
2023,4,30,30.16,39.3,3.02,0.61,3.7498
2023,5,1,28.25,57.34,4.16,0.63,4.3764
2023,5,2,26.79,45.92,8.56,0.65,4.0301
2023,5,3,27.11,45.83,7.39,0.65,4.4249
2023,5,4,27.07,44.85,7.66,0.59,2.8944
2023,5,5,26.79,42.43,6.7,0.64,4.4681
2023,5,6,26.8,38.37,4.07,0.64,4.9241
2023,5,7,28.79,41.18,2.61,0.61,4.3603
2023,5,8,30.68,38.68,5.38,0.58,3.4349
2023,5,9,30.34,47.03,4.18,0.44,0.9125
2023,5,10,30.88,52.95,4.06,0.54,2.5517
2023,5,11,29.68,54.44,4.25,0.55,2.6023
2023,5,12,31.93,44.25,2.26,0.58,3.1109
2023,5,13,34.31,29.47,3.08,0.61,4.2516
2023,5,14,30.85,39.95,7.57,0.54,2.1358
2023,5,15,29.64,45.78,6.63,0.62,3.9526
2023,5,16,30.43,38.28,4.13,0.5,1.9126
2023,5,17,31.32,34.95,3.25,0.6,3.2611
2023,5,18,31.55,42.23,2.47,0.42,0.8539
2023,5,19,31.79,43.53,2.98,0.35,0.8623
2023,5,20,31.54,48.01,3.7,0.41,0.7733
2023,5,21,32.71,44.22,4.97,0.48,1.3723
2023,5,22,33.67,40.22,3.64,0.55,2.3426
2023,5,23,33.48,40.19,2.61,0.61,4.182
2023,5,24,34.08,33.96,2.97,0.62,4.3678
2023,5,25,33.62,38.28,4.14,0.59,3.6007
2023,5,26,33.94,40.89,2.72,0.55,2.5572
2023,5,27,33.64,41.4,4.05,0.59,3.552
2023,5,28,33.94,35.17,3.91,0.6,3.69
2023,5,29,33.96,35.41,4.69,0.62,4.7479
2023,5,30,34.05,39.23,6.27,0.57,2.9623
2023,5,31,33.17,42.85,5.45,0.48,1.3493
2023,6,1,33.61,37.15,6.57,0.6,3.6564
2023,6,2,33.62,36.44,8.49,0.61,3.3389
2023,6,3,33.8,36.37,7.95,0.66,4.9774
2023,6,4,34.29,32.76,5.8,0.65,4.9034
2023,6,5,33.8,42.06,4.28,0.65,5.1749
2023,6,6,33.09,52.42,3.86,0.64,4.7006
2023,6,7,34.43,41.65,3.86,0.6,3.659
2023,6,8,36.1,33.42,3.6,0.62,4.2521
2023,6,9,35.02,33.83,4.4,0.66,5.2378
2023,6,10,34.75,39.51,6.05,0.66,5.4022
2023,6,11,35.71,39.37,4.23,0.64,4.7669
2023,6,12,37.47,31.75,3.74,0.61,3.6864
2023,6,13,36.06,47.22,4.55,0.61,3.8662
2023,6,14,35.95,38.19,8.74,0.61,3.4944
2023,6,15,35.88,37.46,8.68,0.51,1.242
2023,6,16,35.13,42.96,5.78,0.63,3.984
2023,6,17,34.35,40.34,7.49,0.6,3.479
2023,6,18,34.6,38.7,5.73,0.63,4.577
2023,6,19,34.05,47.2,7.59,0.66,5.141
2023,6,20,34.23,43.29,8.06,0.64,4.8286
2023,6,21,34.5,43.43,7.93,0.66,4.979
2023,6,22,34.9,40.48,6.52,0.64,4.5864
2023,6,23,35.8,36.46,5.96,0.6,3.9221
2023,6,24,36.71,29.69,5.05,0.63,4.4436
2023,6,25,35.92,41.85,7.01,0.65,4.8943
2023,6,26,35.98,31.11,6.08,0.65,4.7767
2023,6,27,35.18,42.77,5.8,0.63,4.62
2023,6,28,35.15,42.92,5.25,0.63,4.6963
2023,6,29,35.47,36.65,5.0,0.65,5.0966
2023,6,30,35.72,31.79,5.49,0.68,6.2998
2023,7,1,35.99,38.34,4.07,0.65,5.7214
2023,7,2,35.65,35.45,5.32,0.64,5.027
2023,7,3,35.76,39.99,8.07,0.64,4.2672
2023,7,4,36.25,37.07,7.63,0.62,4.0423
2023,7,5,36.2,31.26,6.12,0.61,3.7757
2023,7,6,36.47,29.21,5.03,0.62,3.9864
2023,7,7,37.35,28.5,3.73,0.6,3.468
2023,7,8,37.05,34.31,4.77,0.6,3.8582
2023,7,9,37.06,39.99,5.06,0.61,4.1078
2023,7,10,38.13,31.4,3.32,0.63,4.8216
2023,7,11,37.85,34.92,3.32,0.63,5.1869
2023,7,12,37.81,37.04,7.29,0.62,4.4736
2023,7,13,37.29,31.25,8.02,0.55,2.4007
2023,7,14,35.95,42.46,4.91,0.54,1.9591
2023,7,15,35.74,56.71,1.69,0.56,2.3345
2023,7,16,36.9,39.46,4.89,0.58,3.0384
2023,7,17,37.94,34.82,5.82,0.63,4.4047
2023,7,18,38.0,36.28,3.87,0.64,5.2738
2023,7,19,37.67,39.65,4.05,0.62,4.8197
2023,7,20,37.77,35.87,6.57,0.61,4.4556
2023,7,21,37.68,37.26,5.56,0.59,4.5617
2023,7,22,37.41,38.7,5.34,0.59,3.4102
2023,7,23,37.82,33.05,5.91,0.57,3.3931
2023,7,24,38.0,30.47,4.78,0.57,3.2966
2023,7,25,37.81,38.77,5.17,0.57,4.2629
2023,7,26,37.61,39.61,3.24,0.56,2.772
2023,7,27,37.93,35.71,3.94,0.58,4.1458
2023,7,28,38.25,35.16,4.16,0.6,4.1378
2023,7,29,38.16,33.3,4.21,0.59,3.7992
2023,7,30,38.54,33.47,3.64,0.6,3.7061
2023,7,31,38.7,31.7,3.45,0.6,3.8854
2023,8,1,39.43,28.94,4.31,0.65,5.1797
2023,8,2,38.33,41.28,5.26,0.61,3.8803
2023,8,3,38.05,45.08,6.23,0.61,3.8801
2023,8,4,38.6,37.38,6.44,0.61,3.3562
2023,8,5,37.07,43.0,5.0,0.57,3.0682
2023,8,6,36.88,52.44,2.63,0.53,1.915
2023,8,7,38.05,34.27,5.29,0.61,3.744
2023,8,8,38.16,35.02,4.61,0.6,4.2475
2023,8,9,37.59,37.51,3.27,0.6,4.3078
2023,8,10,37.18,54.64,2.55,0.56,3.2098
2023,8,11,37.19,51.81,2.49,0.58,3.1234
2023,8,12,38.3,47.45,1.97,0.57,2.9462
2023,8,13,38.81,37.75,2.8,0.6,3.4627
2023,8,14,38.13,40.06,2.19,0.61,3.8558
2023,8,15,37.39,52.76,2.31,0.59,3.2904
2023,8,16,36.76,62.64,3.1,0.55,2.4446
2023,8,17,36.55,61.92,4.28,0.53,1.9315
2023,8,18,37.73,53.18,3.16,0.58,3.0938
2023,8,19,37.63,50.2,2.52,0.58,3.1994
2023,8,20,37.33,52.28,3.48,0.56,2.6858
