-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2023 through 12/31/2023 in LST
Location: latitude  17.6   longitude 44.2 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 1378.77 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
RH2M                  MERRA-2 Relative Humidity at 2 Meters (%) 
WS10M                 MERRA-2 Wind Speed at 10 Meters (m/s) 
ALLSKY_KT             CERES SYN1deg All Sky Insolation Clearness Index (dimensionless) 
ALLSKY_SFC_SW_DNI     CERES SYN1deg All Sky Surface Shortwave Downward Direct Normal Irradiance (kW-hr/m^2/day) 
-END HEADER-
YEAR,MO,DY,T2M,RH2M,WS10M,ALLSKY_KT,ALLSKY_SFC_SW_DNI
2023,1,1,16.74,45.18,3.68,0.6,3.9314
2023,1,2,16.38,53.07,3.84,0.64,4.1357
2023,1,3,15.37,55.09,3.28,0.62,4.5922
2023,1,4,17.5,43.25,4.05,0.73,6.3713
2023,1,5,20.44,40.97,3.49,0.74,7.26
2023,1,6,19.92,34.78,2.74,0.7,6.1858
2023,1,7,18.9,43.44,2.36,0.68,5.7307
2023,1,8,18.19,48.78,2.7,0.51,3.5664
2023,1,9,19.67,46.54,3.16,0.67,5.6633
2023,1,10,21.54,48.72,3.8,0.71,7.128
2023,1,11,18.34,50.72,4.06,0.58,3.4236
2023,1,12,16.99,50.91,3.33,0.63,3.5306
2023,1,13,18.81,44.23,3.51,0.62,3.7234
2023,1,14,20.85,43.39,2.56,0.64,3.9703
2023,1,15,21.52,43.46,3.27,0.7,6.2981
2023,1,16,21.26,35.71,3.41,0.71,6.2916
2023,1,17,21.99,44.68,2.88,0.71,6.4183
2023,1,18,17.21,47.17,3.96,0.62,3.841
2023,1,19,15.09,48.24,3.29,0.69,4.8646
2023,1,20,15.48,39.13,3.68,0.72,5.6638
2023,1,21,16.35,30.48,3.38,0.72,5.8481
2023,1,22,17.13,27.01,2.88,0.73,6.2494
2023,1,23,18.88,31.23,2.39,0.74,6.8532
2023,1,24,19.6,29.25,1.73,0.73,6.8393
2023,1,25,20.36,34.87,2.14,0.74,6.9437
2023,1,26,19.17,40.48,1.51,0.72,6.4102
2023,1,27,16.35,55.65,3.58,0.47,1.8638
2023,1,28,14.38,68.77,4.59,0.34,1.177
2023,1,29,15.55,58.03,3.06,0.71,6.0566
2023,1,30,18.74,42.39,2.72,0.72,6.521
2023,1,31,21.3,34.72,2.08,0.73,7.0385
2023,2,1,22.26,34.72,3.66,0.75,7.1808
2023,2,2,22.7,35.29,2.36,0.73,6.9617
2023,2,3,19.61,42.52,3.92,0.69,5.1578
2023,2,4,19.43,35.44,2.56,0.71,5.2531
2023,2,5,20.82,30.95,3.13,0.74,7.2043
2023,2,6,22.82,33.11,2.89,0.74,7.0051
2023,2,7,22.54,38.85,3.75,0.73,6.3852
2023,2,8,22.19,31.49,3.32,0.69,5.591
2023,2,9,21.16,21.93,3.6,0.73,6.1608
2023,2,10,17.5,37.68,3.89,0.68,3.8489
2023,2,11,19.52,26.51,4.52,0.74,5.2951
2023,2,12,21.62,18.55,5.0,0.76,6.6874
2023,2,13,22.07,8.07,5.81,0.79,7.5024
2023,2,14,22.48,14.23,5.31,0.79,8.0664
2023,2,15,23.38,35.45,4.61,0.76,8.0808
2023,2,16,21.96,28.85,3.89,0.73,6.6226
2023,2,17,17.26,33.34,3.43,0.67,3.473
2023,2,18,15.52,43.32,3.45,0.64,2.6861
2023,2,19,15.24,35.68,3.65,0.7,4.2326
2023,2,20,15.42,26.03,3.52,0.75,6.1788
2023,2,21,17.7,17.62,3.79,0.75,5.713
2023,2,22,21.18,23.11,2.69,0.76,6.9833
2023,2,23,22.46,34.21,4.05,0.76,7.4861
2023,2,24,22.46,31.05,2.73,0.73,6.5801
2023,2,25,24.07,31.76,1.9,0.75,7.5209
2023,2,26,24.77,30.82,2.68,0.65,5.3489
2023,2,27,23.79,31.39,3.55,0.7,5.5627
2023,2,28,24.42,24.55,2.38,0.69,5.5987
2023,3,1,21.87,34.83,3.36,0.64,4.3954
2023,3,2,21.33,34.45,3.53,0.71,5.7922
2023,3,3,21.94,38.15,3.96,0.7,5.765
2023,3,4,22.32,31.98,4.6,0.66,4.5252
2023,3,5,21.52,28.14,4.09,0.72,6.0262
2023,3,6,22.01,26.86,4.08,0.72,6.3252
2023,3,7,22.08,23.03,4.06,0.75,7.3193
2023,3,8,23.64,20.63,4.26,0.74,6.6451
2023,3,9,25.25,32.89,3.66,0.7,5.8774
2023,3,10,24.75,40.44,3.94,0.59,3.3442
2023,3,11,23.98,43.89,2.43,0.57,3.0017
2023,3,12,23.85,48.23,3.6,0.45,1.5038
2023,3,13,20.36,66.29,2.48,0.2,0.1704
2023,3,14,20.44,70.84,2.97,0.58,2.6498
2023,3,15,21.58,58.23,3.92,0.51,2.082
2023,3,16,22.64,51.09,2.06,0.59,2.5625
2023,3,17,23.75,49.41,1.85,0.58,2.646
2023,3,18,23.1,56.56,1.47,0.65,4.165
2023,3,19,23.93,50.09,3.22,0.59,2.8488
2023,3,20,22.21,44.07,5.13,0.74,5.9201
2023,3,21,19.78,32.61,6.32,0.79,8.2886
2023,3,22,19.96,25.84,1.82,0.78,7.5689
2023,3,23,21.12,27.25,2.63,0.73,5.7096
2023,3,24,22.81,35.87,3.2,0.69,5.8517
2023,3,25,24.15,44.84,3.18,0.68,5.7569
2023,3,26,24.55,40.43,5.9,0.63,3.9974
2023,3,27,24.3,56.4,6.99,0.42,1.2842
2023,3,28,23.2,44.32,3.81,0.73,6.1759
2023,3,29,22.84,41.79,3.36,0.63,3.3732
2023,3,30,24.81,43.07,3.36,0.72,6.083
2023,3,31,24.98,48.01,4.92,0.72,5.7588
2023,4,1,24.52,49.04,2.7,0.67,4.967
2023,4,2,24.61,40.3,2.29,0.68,4.5247
2023,4,3,22.94,30.49,4.6,0.71,4.8182
2023,4,4,22.41,33.62,4.4,0.7,5.2255
2023,4,5,24.15,34.57,3.44,0.69,4.7388
2023,4,6,25.11,35.16,1.64,0.67,4.4786
2023,4,7,26.5,35.03,1.52,0.67,4.4952
2023,4,8,26.33,41.58,2.69,0.68,5.0837
2023,4,9,21.01,41.0,5.18,0.71,5.2003
2023,4,10,24.47,38.4,3.47,0.64,4.2506
2023,4,11,25.22,41.19,2.56,0.71,5.9801
2023,4,12,28.1,35.33,4.15,0.69,5.0357
2023,4,13,28.21,33.65,2.56,0.66,4.2509
2023,4,14,27.25,38.48,3.07,0.63,3.5842
2023,4,15,25.21,46.71,3.53,0.69,5.2236
2023,4,16,26.31,43.37,2.49,0.68,5.2214
2023,4,17,26.62,49.46,1.72,0.69,5.3743
2023,4,18,25.94,44.89,2.19,0.68,4.9922
2023,4,19,26.44,38.19,1.5,0.71,6.4082
2023,4,20,24.47,45.26,2.98,0.71,6.5306
2023,4,21,25.14,41.58,2.17,0.61,4.8989
2023,4,22,24.42,47.89,2.23,0.65,4.6438
2023,4,23,25.44,43.35,1.76,0.67,4.9954
2023,4,24,26.32,36.1,1.73,0.66,5.1506
2023,4,25,26.97,36.48,1.61,0.69,4.7806
2023,4,26,26.07,39.94,1.8,0.59,3.3329
2023,4,27,25.55,42.1,2.81,0.69,5.1259
2023,4,28,26.57,39.21,2.71,0.64,4.5005
2023,4,29,25.66,48.58,2.58,0.69,5.4526
2023,4,30,25.33,43.65,1.93,0.54,3.9161
2023,5,1,25.74,44.65,2.19,0.55,2.7924
2023,5,2,27.37,37.33,2.87,0.67,4.7698
2023,5,3,26.89,41.15,4.26,0.67,4.2888
2023,5,4,26.29,52.0,2.2,0.68,4.741
2023,5,5,27.1,38.94,2.56,0.64,3.678
