-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2023 through 12/31/2023 in LST
Location: latitude  29.8   longitude 40.1 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 685.2 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
RH2M                  MERRA-2 Relative Humidity at 2 Meters (%) 
WS10M                 MERRA-2 Wind Speed at 10 Meters (m/s) 
ALLSKY_KT             CERES SYN1deg All Sky Insolation Clearness Index (dimensionless) 
ALLSKY_SFC_SW_DNI     CERES SYN1deg All Sky Surface Shortwave Downward Direct Normal Irradiance (kW-hr/m^2/day) 
-END HEADER-
YEAR,MO,DY,T2M,RH2M,WS10M,ALLSKY_KT,ALLSKY_SFC_SW_DNI
2023,1,1,8.31,80.7,6.38,0.39,1.1455
2023,1,2,7.58,73.2,5.93,0.35,2.028
2023,1,3,8.54,85.58,6.56,0.23,0.8566
2023,1,4,7.24,81.42,7.35,0.38,2.893
2023,1,5,6.4,76.78,4.7,0.7,6.324
2023,1,6,7.62,71.89,2.85,0.72,6.7634
2023,1,7,8.39,60.9,2.55,0.72,7.0003
2023,1,8,9.24,57.01,3.91,0.66,5.2402
2023,1,9,8.46,73.2,3.45,0.31,1.2408
2023,1,10,7.7,71.76,2.78,0.37,1.2382
2023,1,11,5.68,68.17,2.34,0.72,6.8494
2023,1,12,5.83,72.38,4.07,0.73,7.1309
2023,1,13,7.35,75.21,3.9,0.68,5.411
2023,1,14,7.89,74.71,2.04,0.3,0.8676
2023,1,15,7.33,73.67,1.82,0.45,2.3383
2023,1,16,8.05,76.1,5.09,0.52,2.8097
2023,1,17,8.19,70.7,3.29,0.52,3.3022
2023,1,18,9.18,59.16,1.7,0.65,5.3642
2023,1,19,8.67,57.92,2.09,0.73,7.6574
2023,1,20,8.91,60.27,4.17,0.66,4.9541
2023,1,21,11.02,67.86,4.14,0.66,4.9226
2023,1,22,9.74,73.12,5.21,0.66,4.7292
2023,1,23,9.76,74.27,4.65,0.65,4.4863
2023,1,24,8.81,71.27,3.54,0.54,3.6324
2023,1,25,7.02,57.1,3.39,0.49,3.1978
2023,1,26,7.12,54.8,3.22,0.67,5.389
2023,1,27,7.39,60.22,3.54,0.71,6.09
2023,1,28,10.19,61.46,4.14,0.71,6.432
2023,1,29,13.32,57.13,4.06,0.59,2.7211
2023,1,30,13.01,57.56,4.51,0.64,4.3056
2023,1,31,10.02,53.49,5.44,0.57,3.3168
2023,2,1,8.33,65.7,3.47,0.73,6.6967
2023,2,2,6.84,57.94,5.02,0.71,5.6645
2023,2,3,6.63,61.55,2.27,0.77,8.9134
2023,2,4,6.45,55.65,4.1,0.67,4.6121
2023,2,5,8.44,61.82,2.82,0.61,3.2167
2023,2,6,8.98,53.5,6.49,0.71,5.8927
2023,2,7,6.79,54.49,6.11,0.7,5.0179
2023,2,8,5.65,69.08,5.73,0.73,7.206
2023,2,9,5.49,64.15,2.7,0.69,5.4127
2023,2,10,6.12,52.68,6.45,0.66,4.523
2023,2,11,5.59,54.05,6.63,0.66,4.4566
2023,2,12,6.76,54.55,2.95,0.66,4.6457
2023,2,13,7.73,51.74,3.71,0.44,1.206
2023,2,14,5.5,80.34,6.01,0.61,3.223
2023,2,15,6.88,65.06,1.99,0.62,3.9554
2023,2,16,6.54,52.64,2.91,0.74,7.1076
2023,2,17,4.53,50.68,3.6,0.75,7.9879
2023,2,18,5.98,40.24,2.79,0.77,8.933
2023,2,19,8.16,36.14,3.06,0.73,7.0039
2023,2,20,10.18,46.36,4.15,0.68,4.8024
2023,2,21,12.16,47.87,2.57,0.72,5.9947
2023,2,22,11.03,46.44,4.31,0.68,5.1154
2023,2,23,11.31,50.32,3.44,0.72,6.0679
2023,2,24,12.75,47.05,2.63,0.7,6.0739
2023,2,25,12.42,53.29,2.59,0.74,6.7932
2023,2,26,12.35,50.37,4.57,0.73,6.5748
2023,2,27,12.77,50.77,4.74,0.72,6.3005
2023,2,28,13.36,43.59,3.16,0.74,7.0651
2023,3,1,14.73,35.28,2.19,0.72,6.6502
2023,3,2,15.49,40.91,3.38,0.73,6.7639
2023,3,3,17.64,40.64,3.64,0.71,6.3768
2023,3,4,16.71,36.0,3.25,0.75,7.2948
2023,3,5,19.04,38.56,2.82,0.67,4.6044
2023,3,6,19.66,42.18,4.67,0.6,3.1606
2023,3,7,15.18,46.2,4.37,0.61,3.005
2023,3,8,16.71,51.89,5.81,0.71,5.9906
2023,3,9,13.09,55.86,3.94,0.76,8.5882
2023,3,10,13.8,42.32,1.85,0.77,9.0542
2023,3,11,14.15,38.05,4.84,0.78,9.4373
2023,3,12,14.82,60.81,4.67,0.35,0.8174
2023,3,13,16.23,67.85,3.05,0.72,7.1734
2023,3,14,16.62,45.69,4.17,0.72,7.0793
2023,3,15,12.85,61.71,6.36,0.63,3.8285
2023,3,16,12.57,53.68,3.31,0.77,9.3257
2023,3,17,15.68,37.05,3.52,0.76,7.5528
2023,3,18,15.96,33.14,3.89,0.78,8.4041
2023,3,19,14.43,49.84,4.38,0.77,8.8819
2023,3,20,11.71,57.64,5.51,0.7,6.4042
2023,3,21,11.76,64.69,5.26,0.63,4.6649
2023,3,22,13.38,53.94,2.7,0.68,5.2428
2023,3,23,15.91,40.62,1.95,0.71,6.012
2023,3,24,18.53,37.36,5.19,0.67,4.6555
2023,3,25,16.69,56.93,4.25,0.47,1.6632
2023,3,26,15.02,64.42,5.75,0.56,2.5642
2023,3,27,14.5,53.68,5.49,0.75,8.2951
2023,3,28,16.6,38.95,2.88,0.78,9.6115
2023,3,29,18.08,28.46,4.16,0.79,9.5602
2023,3,30,14.04,50.22,4.06,0.75,7.7609
2023,3,31,10.76,42.25,6.61,0.77,8.1955
2023,4,1,10.62,33.25,2.21,0.72,7.157
2023,4,2,14.48,25.17,1.15,0.77,9.3677
2023,4,3,16.11,28.41,3.47,0.77,9.6329
2023,4,4,18.64,28.76,5.02,0.76,8.347
2023,4,5,19.03,31.08,4.81,0.71,5.6645
