-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2023 through 12/31/2023 in LST
Location: latitude  21.5   longitude 39.2 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 123.46 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
RH2M                  MERRA-2 Relative Humidity at 2 Meters (%) 
WS10M                 MERRA-2 Wind Speed at 10 Meters (m/s) 
ALLSKY_KT             CERES SYN1deg All Sky Insolation Clearness Index (dimensionless) 
ALLSKY_SFC_SW_DNI     CERES SYN1deg All Sky Surface Shortwave Downward Direct Normal Irradiance (kW-hr/m^2/day) 
-END HEADER-
YEAR,MO,DY,T2M,RH2M,WS10M,ALLSKY_KT,ALLSKY_SFC_SW_DNI
2023,1,1,24.72,77.02,4.06,0.58,4.0651
2023,1,2,24.2,74.95,1.67,0.44,1.9824
2023,1,3,25.46,76.39,3.49,0.43,1.6889
2023,1,4,23.11,82.09,3.79,0.35,1.2137
2023,1,5,21.92,68.96,4.85,0.34,0.9098
2023,1,6,21.08,60.28,4.55,0.57,4.0198
2023,1,7,20.83,65.76,3.19,0.68,6.1462
2023,1,8,22.27,68.62,2.37,0.63,5.5582
2023,1,9,22.55,73.68,2.98,0.38,1.8358
2023,1,10,21.03,57.31,5.39,0.64,5.4389
2023,1,11,21.09,55.07,4.44,0.48,2.8644
2023,1,12,21.65,66.42,4.23,0.51,3.2789
2023,1,13,21.69,64.81,3.94,0.48,3.0919
2023,1,14,22.28,67.98,3.57,0.46,2.707
2023,1,15,22.71,70.74,3.14,0.5,3.0643
2023,1,16,23.05,70.25,3.61,0.42,2.6028
2023,1,17,22.17,58.92,5.57,0.61,4.8274
2023,1,18,22.79,59.06,3.17,0.68,6.7169
2023,1,19,24.23,58.53,3.29,0.67,6.0218
2023,1,20,25.46,61.2,2.67,0.62,5.0071
2023,1,21,24.96,71.17,3.55,0.61,4.4258
2023,1,22,25.01,71.87,3.46,0.54,3.3158
2023,1,23,25.82,72.99,2.42,0.59,4.1064
2023,1,24,25.77,70.86,2.53,0.62,5.189
2023,1,25,23.76,71.31,2.59,0.53,4.0805
2023,1,26,22.94,61.39,2.84,0.65,6.0002
2023,1,27,23.55,58.66,2.88,0.64,5.5663
2023,1,28,25.06,63.19,2.9,0.68,6.4524
2023,1,29,25.67,56.84,2.85,0.66,5.8824
2023,1,30,25.56,67.35,4.03,0.66,5.899
2023,1,31,25.68,76.06,5.76,0.63,5.13
2023,2,1,23.83,65.31,4.63,0.5,2.6484
2023,2,2,20.53,54.29,5.77,0.7,6.8942
2023,2,3,21.08,45.24,4.44,0.73,7.6658
2023,2,4,21.09,57.1,3.68,0.7,6.8846
2023,2,5,22.58,59.93,2.62,0.7,7.2365
2023,2,6,23.77,69.25,3.69,0.44,2.3623
2023,2,7,22.4,59.9,5.28,0.69,6.426
2023,2,8,20.48,55.14,6.31,0.71,6.4502
2023,2,9,22.56,46.17,4.18,0.71,7.1916
2023,2,10,24.24,56.66,3.07,0.69,6.3598
2023,2,11,25.08,65.81,3.75,0.67,5.7226
2023,2,12,25.09,69.25,2.9,0.58,3.8414
2023,2,13,24.39,60.81,3.56,0.64,4.8725
2023,2,14,24.52,58.58,2.92,0.66,5.461
2023,2,15,22.68,55.46,6.19,0.49,2.3887
2023,2,16,20.87,43.79,6.1,0.48,3.0691
2023,2,17,22.3,47.68,4.64,0.56,2.6626
2023,2,18,24.6,58.39,3.67,0.53,1.9344
2023,2,19,25.67,54.73,3.24,0.64,4.2593
2023,2,20,25.82,51.38,3.37,0.61,3.6106
2023,2,21,25.58,57.78,3.14,0.67,5.2666
2023,2,22,25.95,51.89,3.06,0.68,5.6928
2023,2,23,25.3,60.76,2.92,0.69,6.1994
2023,2,24,24.59,47.9,3.47,0.72,7.4342
2023,2,25,24.77,46.48,3.66,0.71,7.1198
2023,2,26,24.74,50.86,3.62,0.7,7.038
2023,2,27,25.92,50.33,3.54,0.69,6.7978
2023,2,28,26.99,55.7,2.9,0.64,4.9385
2023,3,1,27.47,51.07,3.22,0.66,5.509
2023,3,2,27.95,52.16,2.73,0.67,5.9832
2023,3,3,29.24,46.97,2.79,0.63,5.1682
2023,3,4,29.18,48.45,3.4,0.61,3.816
2023,3,5,28.32,60.07,3.36,0.65,5.0681
2023,3,6,29.16,54.62,5.11,0.67,5.8176
2023,3,7,28.66,44.33,4.78,0.66,4.8787
2023,3,8,28.0,51.2,3.37,0.66,5.6736
2023,3,9,26.1,48.43,6.27,0.68,5.2735
2023,3,10,24.8,41.15,5.38,0.72,7.092
2023,3,11,26.2,46.49,3.59,0.62,4.2406
2023,3,12,26.85,45.36,3.26,0.51,2.0414
2023,3,13,25.55,32.96,3.91,0.76,8.153
2023,3,14,25.47,31.59,3.43,0.69,5.4797
2023,3,15,26.15,59.44,5.59,0.66,5.4005
2023,3,16,25.1,37.01,4.41,0.77,9.0612
2023,3,17,26.42,32.34,3.87,0.73,7.5406
2023,3,18,27.69,33.97,4.25,0.56,2.1866
2023,3,19,26.17,36.78,4.25,0.72,6.1073
2023,3,20,23.73,48.25,5.72,0.75,8.2301
2023,3,21,22.66,52.85,5.39,0.74,7.9678
2023,3,22,23.63,43.97,4.64,0.75,8.1038
2023,3,23,23.86,39.43,2.69,0.57,3.03
2023,3,24,26.59,31.96,2.42,0.73,7.1676
2023,3,25,27.92,45.74,6.24,0.56,2.7838
2023,3,26,26.16,61.1,5.81,0.65,3.995
2023,3,27,24.65,51.03,5.46,0.72,6.971
2023,3,28,25.77,49.27,5.77,0.75,8.1252
2023,3,29,27.61,41.16,3.36,0.73,6.9487
2023,3,30,27.8,44.24,4.63,0.64,5.0011
2023,3,31,24.42,54.01,6.94,0.71,5.8073
2023,4,1,24.77,49.25,5.56,0.74,7.5768
2023,4,2,25.1,51.87,4.07,0.72,7.0728
2023,4,3,25.45,47.05,3.06,0.74,6.9691
2023,4,4,26.8,34.06,3.27,0.64,4.4515
2023,4,5,28.23,38.78,3.37,0.61,4.02
2023,4,6,28.09,48.44,3.63,0.63,4.2358
2023,4,7,28.43,52.13,3.32,0.57,3.1301
2023,4,8,30.5,48.14,5.88,0.59,3.786
2023,4,9,30.39,44.88,5.63,0.62,4.1959
2023,4,10,29.92,53.8,6.33,0.57,3.7766
2023,4,11,30.46,54.89,7.94,0.67,5.4744
2023,4,12,28.66,53.23,6.91,0.54,2.5735
2023,4,13,26.13,35.24,7.3,0.55,3.3034
2023,4,14,28.34,51.62,4.24,0.67,5.4754
2023,4,15,28.91,61.22,3.8,0.63,4.579
