-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2023 through 12/31/2023 in LST
Location: latitude  24.7   longitude 46.7 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 614.49 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
RH2M                  MERRA-2 Relative Humidity at 2 Meters (%) 
WS10M                 MERRA-2 Wind Speed at 10 Meters (m/s) 
ALLSKY_KT             CERES SYN1deg All Sky Insolation Clearness Index (dimensionless) 
ALLSKY_SFC_SW_DNI     CERES SYN1deg All Sky Surface Shortwave Downward Direct Normal Irradiance (kW-hr/m^2/day) 
-END HEADER-
YEAR,MO,DY,T2M,RH2M,WS10M,ALLSKY_KT,ALLSKY_SFC_SW_DNI
2023,1,1,12.23,74.89,2.65,0.39,1.4825
2023,1,2,11.17,83.83,2.27,0.27,0.2501
2023,1,3,13.34,86.85,3.62,0.34,0.5009
2023,1,4,15.65,78.88,5.93,0.36,0.5304
2023,1,5,15.36,75.81,3.07,0.22,0.3024
2023,1,6,11.48,85.12,3.64,0.21,0.163
2023,1,7,12.75,82.22,1.51,0.39,1.2679
2023,1,8,12.52,84.13,2.34,0.52,3.1514
2023,1,9,14.44,79.22,5.64,0.48,2.1029
2023,1,10,14.33,69.59,5.32,0.58,3.4202
2023,1,11,9.82,72.68,3.55,0.44,1.8221
2023,1,12,10.65,65.94,2.87,0.49,2.0419
2023,1,13,11.12,75.6,3.62,0.54,2.3606
2023,1,14,14.63,81.65,5.55,0.38,0.8676
2023,1,15,16.37,77.15,3.57,0.5,2.5106
2023,1,16,16.27,75.01,4.31,0.54,2.4132
2023,1,17,15.46,68.04,5.67,0.42,1.6066
2023,1,18,10.44,68.61,4.51,0.71,6.4951
2023,1,19,10.06,60.84,3.77,0.75,7.5482
2023,1,20,10.9,59.82,2.06,0.72,7.0769
2023,1,21,12.42,55.78,3.06,0.68,5.3906
2023,1,22,13.34,56.31,3.27,0.6,3.1303
2023,1,23,13.9,62.88,3.0,0.46,1.843
2023,1,24,14.5,73.89,3.29,0.39,0.7594
2023,1,25,13.94,84.4,3.32,0.28,0.7092
2023,1,26,14.07,80.86,3.19,0.5,2.3071
2023,1,27,11.6,74.02,3.13,0.69,5.8296
2023,1,28,10.2,53.38,2.23,0.74,7.103
2023,1,29,12.52,50.94,3.22,0.74,7.5298
2023,1,30,14.42,50.45,4.7,0.72,6.8002
2023,1,31,17.22,45.28,6.13,0.69,5.7475
2023,2,1,19.15,54.27,3.65,0.65,4.4911
2023,2,2,16.97,60.53,3.03,0.68,5.2301
2023,2,3,11.96,58.11,4.47,0.7,5.6086
2023,2,4,12.74,54.36,3.58,0.65,3.8383
2023,2,5,16.16,61.74,4.13,0.67,4.4273
2023,2,6,18.37,52.67,6.65,0.66,4.5067
2023,2,7,17.56,48.48,4.97,0.67,4.6284
2023,2,8,14.37,47.6,3.1,0.66,4.457
2023,2,9,11.81,48.66,3.99,0.68,4.7306
2023,2,10,11.81,49.43,3.35,0.69,5.2759
2023,2,11,13.08,49.84,5.13,0.7,5.3902
2023,2,12,16.94,44.0,5.58,0.63,3.4661
2023,2,13,15.79,52.19,3.84,0.7,5.2685
2023,2,14,15.41,54.77,4.3,0.68,4.5814
2023,2,15,19.51,44.48,4.79,0.69,5.4197
2023,2,16,13.28,55.21,6.01,0.62,3.1598
2023,2,17,10.98,50.88,5.6,0.58,2.9366
2023,2,18,10.38,40.5,4.33,0.65,3.6461
2023,2,19,11.34,38.3,3.55,0.69,5.2834
2023,2,20,13.65,38.86,1.94,0.68,4.693
2023,2,21,16.23,36.8,3.92,0.64,2.9957
2023,2,22,17.71,31.48,4.01,0.71,5.43
2023,2,23,18.5,28.68,5.12,0.72,5.9849
2023,2,24,18.91,36.98,3.99,0.72,6.1406
2023,2,25,19.14,42.43,3.8,0.72,6.2647
2023,2,26,21.59,37.97,4.5,0.69,5.8757
2023,2,27,21.45,44.62,2.75,0.71,6.3494
2023,2,28,18.83,59.12,4.5,0.68,4.8833
2023,3,1,17.2,53.74,1.91,0.45,1.4237
2023,3,2,19.66,42.38,1.55,0.69,5.5135
2023,3,3,19.69,38.43,3.69,0.72,6.5885
2023,3,4,21.09,38.17,4.4,0.7,5.7756
2023,3,5,22.82,33.82,4.39,0.69,5.6666
2023,3,6,23.15,30.43,5.95,0.69,5.5855
2023,3,7,23.28,24.06,5.79,0.63,3.641
2023,3,8,23.54,25.85,6.12,0.59,2.8133
2023,3,9,24.46,28.23,6.41,0.61,3.3545
2023,3,10,21.85,52.15,6.32,0.56,2.8111
2023,3,11,19.87,51.53,4.39,0.64,3.6062
2023,3,12,19.62,58.69,3.58,0.45,1.2192
2023,3,13,21.34,66.95,3.56,0.61,4.121
2023,3,14,22.19,60.08,2.34,0.64,4.4424
2023,3,15,24.28,48.93,4.33,0.59,3.9202
2023,3,16,20.17,50.35,4.51,0.69,4.8624
2023,3,17,19.94,46.44,3.25,0.67,4.3759
2023,3,18,20.92,50.44,3.67,0.43,1.7134
2023,3,19,22.36,46.46,4.35,0.72,6.0463
2023,3,20,19.97,30.95,3.49,0.76,7.285
2023,3,21,17.61,36.41,5.13,0.76,8.3467
2023,3,22,17.53,38.85,4.01,0.73,6.7116
2023,3,23,18.14,38.45,2.25,0.72,5.9846
2023,3,24,19.58,37.83,2.75,0.61,3.6888
2023,3,25,22.12,32.48,5.73,0.66,5.1065
2023,3,26,22.66,49.39,6.26,0.38,0.9972
2023,3,27,22.0,55.72,2.28,0.66,3.9617
2023,3,28,20.51,41.14,3.08,0.71,5.2092
2023,3,29,20.23,30.2,3.31,0.76,8.1535
2023,3,30,22.74,30.25,3.99,0.63,3.821
2023,3,31,24.49,31.73,7.03,0.69,5.2051
2023,4,1,17.74,31.25,5.41,0.7,4.4484
2023,4,2,16.62,26.59,3.76,0.63,2.8277
2023,4,3,17.73,24.89,2.95,0.7,4.8936
2023,4,4,20.58,21.43,2.49,0.7,5.1682
2023,4,5,22.43,23.62,1.34,0.66,4.5158
2023,4,6,23.59,29.54,2.95,0.6,3.3602
2023,4,7,24.82,34.34,3.03,0.41,0.9922
2023,4,8,20.25,47.5,4.19,0.55,2.6722
2023,4,9,22.32,36.98,2.95,0.73,6.8098
2023,4,10,23.04,30.17,3.38,0.63,3.8916
2023,4,11,24.69,44.6,5.6,0.63,4.3649
2023,4,12,27.65,36.09,6.9,0.66,4.4616
2023,4,13,24.41,59.83,4.28,0.57,2.5354
2023,4,14,21.91,55.17,3.93,0.38,0.5866
