-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2023 through 12/31/2023 in LST
Location: latitude  28.4   longitude 36.6 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 874.62 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
RH2M                  MERRA-2 Relative Humidity at 2 Meters (%) 
WS10M                 MERRA-2 Wind Speed at 10 Meters (m/s) 
ALLSKY_KT             CERES SYN1deg All Sky Insolation Clearness Index (dimensionless) 
ALLSKY_SFC_SW_DNI     CERES SYN1deg All Sky Surface Shortwave Downward Direct Normal Irradiance (kW-hr/m^2/day) 
-END HEADER-
YEAR,MO,DY,T2M,RH2M,WS10M,ALLSKY_KT,ALLSKY_SFC_SW_DNI
2023,1,1,11.76,74.25,7.43,0.27,0.7586
2023,1,2,11.88,74.42,5.88,0.36,1.5922
2023,1,3,12.24,73.05,3.68,0.52,3.1063
2023,1,4,9.19,78.49,3.5,0.64,5.1614
2023,1,5,8.53,61.56,2.1,0.72,7.1767
2023,1,6,8.48,49.56,3.14,0.74,7.7323
2023,1,7,9.54,46.88,2.85,0.7,6.037
2023,1,8,10.86,48.11,3.86,0.67,5.262
2023,1,9,8.08,75.85,3.4,0.56,4.2439
2023,1,10,6.48,70.48,3.66,0.59,4.3536
2023,1,11,6.62,62.82,5.06,0.76,8.0796
2023,1,12,8.7,54.61,3.62,0.75,8.1118
2023,1,13,9.73,45.08,1.19,0.73,7.272
2023,1,14,9.12,54.78,2.51,0.74,7.5962
2023,1,15,9.72,53.36,3.06,0.73,6.9852
2023,1,16,9.57,69.54,4.0,0.7,6.8496
2023,1,17,9.15,67.85,3.89,0.74,7.758
2023,1,18,8.87,55.7,5.27,0.75,7.6164
2023,1,19,9.46,46.11,6.46,0.74,7.3351
2023,1,20,13.05,48.27,3.02,0.7,6.3739
2023,1,21,13.63,53.73,2.46,0.73,7.2038
2023,1,22,13.11,55.46,3.79,0.74,7.613
2023,1,23,12.42,62.88,4.89,0.72,7.2667
2023,1,24,11.96,59.78,5.33,0.7,6.4138
2023,1,25,11.04,61.13,4.94,0.68,5.5186
2023,1,26,11.03,52.87,3.72,0.71,6.3754
2023,1,27,12.39,47.45,4.58,0.73,7.1239
2023,1,28,15.71,47.26,4.25,0.61,3.3341
2023,1,29,16.57,55.54,4.72,0.6,2.8632
2023,1,30,16.04,53.29,5.66,0.68,5.1528
2023,1,31,10.6,46.88,4.83,0.75,7.8902
2023,2,1,9.03,50.58,4.66,0.73,6.6883
2023,2,2,7.06,55.34,3.27,0.74,6.5098
2023,2,3,8.72,49.18,3.23,0.72,6.5906
2023,2,4,8.05,44.28,3.74,0.76,8.3594
2023,2,5,8.61,55.64,3.12,0.58,2.1257
2023,2,6,8.55,65.67,7.13,0.73,6.7536
2023,2,7,6.72,54.62,4.25,0.57,1.7772
2023,2,8,6.14,62.12,3.86,0.7,5.3227
2023,2,9,7.95,60.14,3.02,0.68,5.0206
2023,2,10,12.32,36.93,3.99,0.73,6.6089
2023,2,11,11.14,42.56,5.08,0.72,6.815
2023,2,12,8.03,52.67,3.68,0.58,4.1366
2023,2,13,9.93,43.89,4.67,0.73,7.2518
2023,2,14,9.46,60.76,4.02,0.73,7.0663
2023,2,15,8.15,61.01,3.41,0.65,4.9781
2023,2,16,8.27,49.95,3.93,0.7,6.5462
2023,2,17,8.97,36.75,6.26,0.74,7.1122
2023,2,18,10.04,35.17,6.39,0.7,5.2464
2023,2,19,12.66,36.33,6.15,0.66,3.8522
2023,2,20,15.25,39.31,3.74,0.69,5.2366
2023,2,21,12.9,49.63,3.01,0.74,7.2401
2023,2,22,14.26,31.76,3.67,0.76,7.632
2023,2,23,12.75,39.3,3.06,0.75,7.9418
2023,2,24,12.93,43.46,2.66,0.71,6.8854
2023,2,25,13.14,38.42,2.07,0.76,8.7396
2023,2,26,14.99,28.99,3.48,0.76,8.6496
2023,2,27,15.46,32.01,5.88,0.76,8.2238
2023,2,28,16.24,32.78,6.83,0.73,6.6468
2023,3,1,17.45,28.47,3.69,0.74,7.0812
2023,3,2,19.73,25.6,2.25,0.75,8.0606
2023,3,3,19.72,21.62,3.88,0.76,7.9054
2023,3,4,20.0,21.25,2.21,0.76,7.8211
2023,3,5,21.53,15.27,2.99,0.74,6.8333
2023,3,6,22.38,26.74,5.71,0.7,5.6338
2023,3,7,17.13,38.8,3.84,0.62,3.5057
2023,3,8,14.63,39.11,5.1,0.71,5.2802
2023,3,9,12.34,42.01,2.95,0.77,9.305
2023,3,10,14.5,26.49,3.2,0.78,9.4207
2023,3,11,17.86,24.9,4.86,0.76,8.5848
2023,3,12,19.02,21.34,3.69,0.74,7.8727
2023,3,13,17.92,28.2,4.2,0.76,8.1614
2023,3,14,17.51,43.58,6.08,0.61,4.1765
2023,3,15,12.9,60.2,3.16,0.75,8.5742
2023,3,16,14.76,39.34,2.04,0.78,10.0802
2023,3,17,16.02,26.93,3.68,0.8,10.393
2023,3,18,15.64,32.99,5.58,0.76,8.6436
2023,3,19,13.4,42.99,3.92,0.78,8.8524
2023,3,20,11.62,55.79,4.45,0.75,8.197
2023,3,21,12.27,61.4,3.44,0.64,4.9882
2023,3,22,14.57,47.05,2.53,0.72,6.4915
2023,3,23,16.88,35.15,3.41,0.47,0.9554
2023,3,24,19.93,27.78,3.36,0.7,6.1205
2023,3,25,19.01,33.62,6.09,0.48,1.399
2023,3,26,15.43,59.68,4.6,0.62,4.3277
2023,3,27,15.05,48.15,3.25,0.77,9.2496
2023,3,28,17.51,28.2,2.77,0.78,9.4903
2023,3,29,18.87,25.78,3.27,0.8,10.2713
2023,3,30,14.59,48.32,4.52,0.71,5.4888
2023,3,31,11.24,41.84,4.68,0.79,10.0538
2023,4,1,12.67,37.79,3.45,0.78,10.2425
2023,4,2,15.67,21.7,4.41,0.78,9.3535
2023,4,3,19.43,16.31,3.7,0.78,8.3861
2023,4,4,22.26,19.47,4.42,0.71,5.4662
2023,4,5,20.96,19.68,3.13,0.75,7.5209
2023,4,6,17.92,29.38,3.25,0.77,8.387
2023,4,7,20.66,18.01,3.55,0.75,7.253
2023,4,8,23.87,13.81,5.3,0.72,6.0523
2023,4,9,25.37,25.75,5.51,0.71,6.479
2023,4,10,23.53,37.96,3.83,0.65,4.9495
2023,4,11,22.55,42.87,6.34,0.61,2.8896
2023,4,12,15.3,39.38,7.18,0.65,3.6113
2023,4,13,15.05,39.9,4.83,0.76,7.9728
2023,4,14,17.77,35.31,4.01,0.68,5.5289
2023,4,15,21.71,28.07,4.92,0.56,2.4365
2023,4,16,22.87,35.67,2.54,0.68,6.0298
2023,4,17,23.87,37.28,4.28,0.68,5.9328
2023,4,18,26.02,30.17,3.71,0.72,7.032
2023,4,19,26.18,29.88,3.24,0.68,5.2963
2023,4,20,25.72,27.21,4.65,0.63,4.3644
2023,4,21,22.55,32.76,3.83,0.75,7.7561
2023,4,22,23.3,16.18,3.44,0.66,3.9122
2023,4,23,24.77,19.76,4.57,0.52,0.8894
2023,4,24,23.2,32.73,3.04,0.71,6.2477
2023,4,25,22.52,25.15,3.72,0.75,8.2812
2023,4,26,23.56,20.64,3.07,0.76,9.0398
2023,4,27,23.75,18.39,3.45,0.74,7.9457
2023,4,28,21.65,24.3,4.84,0.75,7.8454
2023,4,29,19.33,34.48,4.34,0.78,10.0313
2023,4,30,18.34,28.96,2.75,0.78,9.9943
2023,5,1,19.92,23.16,2.92,0.72,8.1569
2023,5,2,22.56,17.45,3.16,0.76,9.3144
2023,5,3,23.66,20.83,3.33,0.76,9.324
2023,5,4,26.03,17.48,5.27,0.76,9.3953
2023,5,5,27.53,16.24,5.97,0.76,8.8853
2023,5,6,24.66,18.02,6.21,0.73,6.3358
2023,5,7,22.77,20.16,3.52,0.76,7.9171
2023,5,8,21.75,33.67,2.72,0.74,7.7112
2023,5,9,22.86,30.44,2.38,0.74,8.6078
2023,5,10,25.62,19.59,4.03,0.76,9.0218
2023,5,11,26.14,13.88,3.9,0.77,8.8867
2023,5,12,27.85,16.92,6.76,0.73,6.827
2023,5,13,24.17,24.45,3.49,0.75,8.0971
2023,5,14,25.26,23.87,3.97,0.66,4.1964
2023,5,15,28.2,14.12,3.48,0.71,6.7169
2023,5,16,28.54,15.67,3.58,0.73,7.2586
2023,5,17,29.15,13.99,3.1,0.75,8.0935
2023,5,18,29.32,18.78,3.85,0.72,6.167
2023,5,19,25.58,26.9,4.56,0.74,7.4206
2023,5,20,22.95,27.34,3.66,0.77,9.756
2023,5,21,23.79,26.83,2.94,0.68,5.0906
2023,5,22,28.56,17.88,5.44,0.69,5.117
2023,5,23,26.96,25.16,3.68,0.47,1.6838
